1 2 4 5 
50.01889 -110.720833 113.0 2352.0 -7.0 
56.238056 -120.740278 113.0 2280.0 -7.0 
50.113889 -91.905278 113.0 1258.0 -6.0 
66.145 -65.713611 242.0 75.0 -5.0 
47.695 -79.848889 113.0 798.0 -5.0 
53.889444 -122.678889 113.0 2267.0 -8.0 
54.468508 -128.576219 113.0 713.0 -8.0 
43.033056 -81.151111 113.0 912.0 -5.0 
49.025278 -122.360556 113.0 195.0 -8.0 
60.709553 -135.067269 113.0 2317.0 -8.0 
46.363611 -79.422778 113.0 1215.0 -5.0 
51.113888 -114.020278 113.0 3557.0 -7.0 
54.824722 -127.182778 113.0 1712.0 -8.0 
58.836389 -122.596944 113.0 1253.0 -8.0 
49.463056 -119.602222 113.0 1129.0 -8.0 
46.290001 -63.121111 113.0 160.0 -4.0 
69.546667 -93.576667 113.0 92.0 -7.0 
48.646944 -123.425833 113.0 63.0 -8.0 
56.863888 -101.07611 113.0 1170.0 -6.0 
50.291944 -107.690556 113.0 2680.0 -6.0 
58.739167 -94.065 113.0 94.0 -6.0 
53.319168 -60.425833 113.0 160.0 -4.0 
47.61861 -52.751945 113.0 461.0 -3.5 
49.413889 -82.4675 113.0 743.0 -5.0 
50.290279 -88.909721 113.0 1058.0 -5.0 
48.608612 -68.208056 113.0 172.0 -5.0 
43.677223 -79.630556 113.0 569.0 -5.0 
43.7425 -79.465556 113.0 652.0 -5.0 
45.885277 -82.567778 113.0 635.0 -5.0 
62.462778 -114.440278 113.0 675.0 -7.0 
55.293056 -114.777222 113.0 1912.0 -7.0 
53.254333 -131.813833 113.0 21.0 -8.0 
42.999444 -82.308889 113.0 594.0 -5.0 
50.680556 -127.366667 113.0 71.0 -8.0 
54.14389 -115.786667 113.0 2567.0 -7.0 
50.223333 -66.265556 113.0 180.0 -5.0 
60.172779 -132.742778 113.0 2313.0 -8.0 
44.984444 -64.916944 113.0 92.0 -4.0 
62.2075 -133.375833 113.0 2351.0 -8.0 
67.4075 -134.860556 113.0 116.0 -7.0 
36.503613 2.814167 154.0 535.0 1.0 
35.3325 4.206389 154.0 1506.0 1.0 
36.711997 5.069922 154.0 20.0 1.0 
36.691014 3.215408 154.0 82.0 1.0 
24.292767 9.452444 154.0 3176.0 1.0 
36.545834 2.876111 154.0 335.0 1.0 
26.710103 0.285647 154.0 955.0 1.0 
26.723536 8.622653 154.0 1778.0 1.0 
35.525414 2.878714 154.0 2132.0 1.0 
22.811461 5.451075 154.0 4518.0 1.0 
36.795136 5.873608 154.0 36.0 1.0 
33.535853 -0.242353 154.0 3855.0 1.0 
35.752239 0.626272 154.0 282.0 1.0 
36.822225 7.809167 154.0 16.0 1.0 
36.276028 6.620386 154.0 2265.0 1.0 
35.431611 8.120717 154.0 2661.0 1.0 
32.930431 3.311542 154.0 2540.0 1.0 
35.341136 1.463147 154.0 3245.0 1.0 
35.735389 -0.805389 154.0 187.0 1.0 
27.700372 -8.167103 154.0 1453.0 1.0 
36.212658 1.331775 154.0 463.0 1.0 
35.542444 -0.532278 154.0 367.0 1.0 
35.016667 -1.45 154.0 814.0 1.0 
35.623858 -0.621183 154.0 295.0 1.0 
35.171775 -0.593275 154.0 1614.0 1.0 
35.207725 0.147142 154.0 1686.0 1.0 
27.837589 -0.186414 154.0 919.0 1.0 
34.793289 5.738231 154.0 289.0 1.0 
30.571294 2.859586 154.0 1306.0 1.0 
32.384106 3.794114 154.0 1512.0 1.0 
31.672972 6.140444 154.0 463.0 1.0 
27.251022 2.512017 154.0 896.0 1.0 
33.067803 6.088672 154.0 279.0 1.0 
33.764383 2.928344 154.0 2510.0 1.0 
29.237119 0.276033 154.0 1027.0 1.0 
31.917223 5.412778 154.0 492.0 1.0 
28.05155 9.642911 154.0 1847.0 1.0 
6.357228 2.384353 145.0 19.0 1.0 
12.353194 -1.512417 143.0 1037.0 0.0 
11.160056 -4.330969 143.0 1511.0 0.0 
5.605186 -0.166786 160.0 205.0 0.0 
9.557192 -0.863214 160.0 553.0 0.0 
10.082664 -2.507694 160.0 1060.0 0.0 
7.361828 -2.328756 160.0 1014.0 0.0 
4.896056 -1.774756 160.0 21.0 0.0 
5.261386 -3.926294 150.0 21.0 0.0 
7.7388 -5.073667 150.0 1230.0 0.0 
6.792808 -6.473189 150.0 823.0 0.0 
9.387183 -5.556664 150.0 1214.0 0.0 
7.272069 -7.587364 150.0 1089.0 0.0 
4.746717 -6.660817 150.0 26.0 0.0 
6.903167 -5.365581 150.0 699.0 0.0 
9.006792 7.263172 179.0 1123.0 1.0 
7.246739 5.301008 179.0 1100.0 1.0 
6.316981 5.599503 179.0 258.0 1.0 
4.976019 8.347197 179.0 210.0 1.0 
6.474272 7.561961 179.0 466.0 1.0 
12.171667 6.696111 179.0 1520.0 1.0 
7.362458 3.978333 179.0 725.0 1.0 
8.440211 4.493919 179.0 1126.0 1.0 
9.639828 8.86905 179.0 4232.0 1.0 
10.696025 7.320114 179.0 2073.0 1.0 
12.047589 8.524622 179.0 1562.0 1.0 
11.855347 13.08095 179.0 1099.0 1.0 
7.703883 8.613939 179.0 371.0 1.0 
6.577369 3.321156 179.0 135.0 1.0 
9.652172 6.462256 179.0 834.0 1.0 
5.015494 6.949594 179.0 87.0 1.0 
12.916322 5.207189 179.0 1010.0 1.0 
9.257553 12.430422 179.0 599.0 1.0 
11.130192 7.685806 179.0 2170.0 1.0 
13.502531 7.126753 178.0 1240.0 1.0 
13.481547 2.183614 178.0 732.0 1.0 
14.875658 5.265358 178.0 1266.0 1.0 
16.965997 8.000114 178.0 1657.0 1.0 
18.968703 12.86865 178.0 1273.0 1.0 
13.372894 12.626686 178.0 994.0 1.0 
13.778997 8.983761 178.0 1516.0 1.0 
35.758056 10.754722 193.0 9.0 1.0 
36.851033 10.227217 193.0 22.0 1.0 
37.245447 9.791453 193.0 20.0 1.0 
32.306156 10.382108 193.0 1004.0 1.0 
34.422022 8.822503 193.0 1060.0 1.0 
33.876919 10.103333 193.0 26.0 1.0 
