Numerical_1,Numerical_2,Altitude,Timezone,Country,DST,clusterid 
4.033333,-58.583333,10.0,-4.0,GY,U,4 
5.69252,-60.28198,10.0,-4.0,GY,U,4 
5.865278,-60.614167,10.0,-4.0,GY,U,4 
8.2,-59.783333,10.0,-4.0,GY,U,4 
5.266667,-59.15,10.0,-4.0,GY,U,4 
-22.641389,-55.829722,1873.0,-4.0,PY,U,4 
8.516667,-77.3,50.0,-5.0,CO,U,4 
6.916667,-71.9,10.0,-5.0,CO,U,4 
-0.733333,-73.016667,10.0,-5.0,CO,U,4 
2.179167,-73.7875,10.0,-5.0,CO,U,4 
0.978889,-76.605556,1248.0,-5.0,CO,U,4 
7.596389,-74.808889,180.0,-5.0,CO,U,4 
7.968333,-75.198333,174.0,-5.0,CO,U,4 
5.071667,-76.676389,10.0,-5.0,CO,U,4 
9.511944,-75.586389,10.0,-5.0,CO,U,4 
-22.921667,-42.074167,14.0,-3.0,BR,S,4 
-11.885,-55.586,10.0,-4.0,BR,S,4 
-11.728889,-49.068889,10.0,-3.0,BR,S,4 
-9.505,-50.625,525.0,-4.0,BR,S,4 
-1.681944,-50.48,131.0,-4.0,BR,S,4 
-0.716944,-48.522778,33.0,-4.0,BR,S,4 
-2.627778,-56.735833,500.0,-4.0,BR,S,4 
-12.083333,-45.0,1356.0,-3.0,BR,S,4 
-10.47,-50.502778,650.0,-4.0,BR,S,4 
-13.526944,-48.220556,1053.0,-3.0,BR,S,4 
-7.228333,-48.240833,771.0,-3.0,BR,S,4 
-5.121389,-60.380556,500.0,-4.0,BR,S,4 
-13.05,-55.910833,500.0,-4.0,BR,S,4 
-20.538611,-47.400833,1040.0,-3.0,BR,S,4 
-22.220833,-54.805833,1433.0,-4.0,BR,S,4 
-7.258889,-64.797778,225.0,-4.0,BR,S,4 
-16.466667,-54.633333,500.0,-4.0,BR,S,4 
-25.383333,-51.45,200.0,-3.0,BR,S,4 
-27.172778,-51.500833,1713.0,-3.0,BR,S,4 
-17.790278,-50.918333,2244.0,-3.0,BR,S,4 
-19.563056,-46.960278,3276.0,-3.0,BR,S,4 
-3.383611,-57.718611,500.0,-4.0,BR,S,4 
-4.387778,-59.593889,500.0,-4.0,BR,S,4 
-4.085,-63.140833,33.0,-4.0,BR,S,4 
-0.975,-62.923889,500.0,-4.0,BR,S,4 
-14.408889,-56.445833,1837.0,-4.0,BR,S,4 
-14.216667,-42.783333,500.0,-3.0,BR,S,4 
-53.2537,-70.319228,104.0,-4.0,CL,U,4 
-51.31,-59.61,8.0,-3.0,FK,S,4 
-52.4282,-59.0777,0.0,-3.0,FK,S,4 
-52.03,-58.47,0.0,-3.0,FK,S,4 
-3.14604,-59.9863,267.0,-4.0,BR,S,4 
-0.148056,-66.9858,251.0,-4.0,BR,S,4 
0.628269,-66.115128,354.0,-4.0,BR,S,4 
-6.11781,-50.0035,2064.0,-4.0,BR,S,4 
-2.373,-44.396389,148.0,-3.0,BR,S,4 
-4.2446,-56.00384,0.0,-4.0,BR,S,4 
-13.2965,-38.9924,21.0,-3.0,BR,S,4 
-5.20192,-37.3643,76.0,-3.0,BR,S,4 
-8.28239,-36.0135,1891.0,-3.0,BR,S,4 
-22.7453,-43.4603,164.0,-3.0,BR,S,4 
-34.4741,-57.843427,89.0,-3.0,UY,S,4 
-34.893891,-56.166589,141.0,-3.0,UY,S,4 
6.343791,-58.591204,38.0,-4.0,GY,N,4 
-32.949611,-71.478583,461.0,-4.0,CL,S,4 
-54.9311,-67.6263,88.0,-4.0,CL,U,4 
-34.9667,-71.2164,722.0,-4.0,CL,S,4 
-26.834239,-49.091696,70.0,-3.0,BR,S,4 
-21.5130558014,-43.1730575562,1348.0,-3.0,BR,S,4 
4.283333,-54.381111,186.0,-3.0,GF,S,4 
3.6575,-54.037222,377.0,-3.0,GF,S,4 
5.483056,-54.034444,17.0,-3.0,GF,S,4 
3.898611,-55.577778,50.0,-3.0,SR,S,4 
4.3754,-55.4075,50.0,-3.0,SR,S,4 
8.616667,-77.333333,100.0,-5.0,CO,S,4 
-30.974444,-55.476111,712.0,-3.0,UY,S,4 
-18.672778,-46.491111,851.0,-3.0,BR,S,4 
-22.157778,-49.068333,594.0,-3.0,BR,S,4 
-6.763056,-51.05,229.0,-4.0,BR,S,4 
-8.033333,-49.98,669.0,-4.0,BR,S,4 
-6.641389,-51.952222,656.0,-4.0,BR,S,4 
-21.247222,-56.4525,1180.0,-4.0,BR,S,4 
-11.6325,-50.689444,650.0,-4.0,BR,S,4 
-26.788333,-50.939722,3376.0,-3.0,BR,S,4 
-4.871389,-66.8975,354.0,-4.0,BR,S,4 
-4.884167,-65.355556,210.0,-4.0,BR,S,4 
-6.639444,-69.879722,412.0,-4.0,BR,S,4 
-27.180556,-52.052778,2461.0,-3.0,BR,S,4 
-26.059167,-53.063333,2100.0,-3.0,BR,S,4 
-10.633611,-51.567222,250.0,-4.0,BR,S,4 
-23.798611,-53.313611,1558.0,-3.0,BR,S,4 
-18.231944,-43.650278,4446.0,-3.0,BR,S,4 
-2.5325,-66.083333,207.0,-4.0,BR,S,4 
-3.465556,-68.918889,335.0,-4.0,BR,S,4 
-7.532222,-63.072222,230.0,-4.0,BR,S,4 
-0.416944,-65.033889,223.0,-4.0,BR,S,4 
-1.714167,-55.836111,262.0,-4.0,BR,S,4 
-15.355278,-38.998889,20.0,-3.0,BR,S,4 
4.7828,-53.2611,253.0,-3.0,GF,N,4 
4.8708,-52.2783,33.0,-3.0,GF,N,4 
4.75,-54.05,100.0,-3.0,GF,N,4 
4.7301,-53.9516,100.0,-3.0,GF,N,4 
3.7243,-53.9747,300.0,-3.0,GF,N,4 
4.8936,-52.2922,39.0,-3.0,GF,N,4 
1.444549,-71.949921,300.0,-5.0,CO,S,4 
-0.942499999,-90.95305555,35.0,-6.0,EC,N,4 
-13.565589,-38.939241,5.0,-3.0,BR,S,4 
-13.565589,-38.939241,5.0,-3.0,BR,S,4 
-0.766667,-75.53333,997.0,-5.0,EC,S,4 
-1.0102,-77.1501,1000.0,-5.0,EC,U,4 
-26.06245,-65.932095,5523.0,-3.0,AR,S,4 
-27.509946,-64.936666,1181.0,-3.0,AR,S,4 
-13.389444445,-38.91,3.0,-3.0,BR,S,4 
-22.938,-48.467,3012.0,-3.0,BR,S,4 
-16.23,-48.966,3731.0,-3.0,BR,S,4 
-21.875,-47.904,2649.0,-3.0,BR,S,4 
-27.078052,-70.795305,180.0,-4.0,CL,U,4 
-22.918888,-68.162777,7959.0,-4.0,CL,U,4 
-22.979167,-46.5375,3.0,-3.0,BR,S,4 
-22.7558,-47.269402,2085.0,-3.0,BR,S,4 
3.724286,-53.974698,0.0,-3.0,GF,N,4 
3.17004,-52.337801,0.0,-3.0,GF,N,4 
5.04305,-54.0425,0.0,-3.0,GF,N,4 
4.730072,-53.95158,0.0,-3.0,GF,N,4 
4.782964,-53.260539,0.0,-3.0,GF,N,4 
3.7353,-53.5287,0.0,-3.0,GF,N,4 
4.75,-54.05,0.0,-3.0,GF,N,4 
4.81444,-53.28833,0.0,-3.0,GF,N,4 
4.89333,-52.29222,0.0,-3.0,GF,N,4 
-22.150556,-65.5775,11414.0,-3.0,AR,N,4 
11.95,-66.67,17.0,-4.5,VE,S,4 
-13.263155,-72.270291,9160.0,-5.0,PE,N,4 
-13.1556,-72.5238,6693.0,-5.0,PE,N,4 
-22.498175,-68.903575,7543.0,-4.0,CL,S,4 
-2.0,-77.0,7076.0,-5.0,EC,S,4 
-13.4944,-72.0421,11710.0,-5.0,PE,N,4 
-0.906833,-78.615756,9205.0,-5.0,EC,U,4 
-0.141144,-78.488214,9228.0,-5.0,EC,U,4 
-1.653433,-78.656142,9151.0,-5.0,EC,U,4 
-18.133114,-65.768781,9007.0,-4.0,BO,S,4 
-13.1167,-72.5667,9500.0,-5.0,PE,S,4 
-0.5425,-78.3657,9205.0,-5.0,EC,S,4 
-19.8517,-43.9508,8708.0,-3.0,BR,S,4 
-20.330706,-67.046881,12000.0,-4.0,BO,S,4 
-20.240932,-67.62538,12020.0,-4.0,BO,S,4 
0.809506,-77.708056,9649.0,-5.0,EC,U,4 
0.861925,-77.671764,9765.0,-5.0,CO,U,4 
-16.513339,-68.192256,13325.0,-4.0,BO,U,4 
-17.962589,-67.076236,12146.0,-4.0,BO,U,4 
-19.543069,-65.723706,12913.0,-4.0,BO,U,4 
-13.706408,-73.350378,11300.0,-5.0,PE,U,4 
-11.783144,-75.473394,11034.0,-5.0,PE,U,4 
-15.467103,-70.158169,12552.0,-5.0,PE,U,4 
-13.535722,-71.938781,10860.0,-5.0,PE,U,4 
-20.466667,-66.833333,11990.0,-4.0,BO,U,4 
-16.183326,-69.087501,12591.0,-4.0,BO,U,4 
-7.313267,72.411089,9.0,6.0,IO,U,5 
34.875117,33.62485,8.0,2.0,CY,E,5 
34.718039,32.485731,41.0,2.0,CY,E,5 
32.011389,34.886667,135.0,2.0,IL,U,5 
31.287003,34.722953,656.0,2.0,IL,U,5 
31.839472,34.821844,193.0,2.0,IL,U,5 
32.440814,35.007661,95.0,2.0,IL,U,5 
29.561281,34.960081,42.0,2.0,IL,U,5 
30.621656,35.203325,-164.0,2.0,IL,U,5 
32.809444,35.043056,28.0,2.0,IL,U,5 
31.7625,34.727222,148.0,2.0,IL,U,5 
32.981047,35.571908,922.0,2.0,IL,U,5 
32.597139,35.228803,200.0,2.0,IL,U,5 
31.328169,35.388608,-1266.0,2.0,IL,U,5 
31.208347,35.0123,1330.0,2.0,IL,U,5 
29.94025,34.93585,1492.0,2.0,IL,U,5 
32.665142,35.179458,185.0,2.0,IL,U,5 
30.776061,34.666769,2126.0,2.0,IL,U,5 
32.114661,34.782239,43.0,2.0,IL,U,5 
34.210017,62.2283,3206.0,4.5,AF,U,5 
34.399842,70.498625,1814.0,4.5,AF,U,5 
34.565853,69.212328,5877.0,4.5,AF,U,5 
31.505756,65.847822,3337.0,4.5,AF,U,5 
35.930789,64.760917,2743.0,4.5,AF,U,5 
36.706914,67.209678,1284.0,4.5,AF,U,5 
33.391331,62.260975,3773.0,4.5,AF,U,5 
36.750783,65.913164,1053.0,4.5,AF,U,5 
36.665111,68.910833,1457.0,4.5,AF,U,5 
26.270834,50.63361,6.0,3.0,BH,U,5 
25.918362,50.590557,136.0,3.0,BH,U,5 
18.240367,42.656625,6858.0,3.0,SA,U,5 
25.285306,49.485189,588.0,3.0,SA,U,5 
20.296139,41.634277,5486.0,3.0,SA,U,5 
19.98435,42.620881,3887.0,3.0,SA,U,5 
25.911281,49.591231,229.0,3.0,SA,U,5 
26.471161,49.79789,72.0,3.0,SA,U,5 
26.265417,50.152027,84.0,3.0,SA,U,5 
16.901111,42.585833,20.0,3.0,SA,U,5 
26.302822,43.773911,2126.0,3.0,SA,U,5 
31.411942,37.279469,1672.0,3.0,SA,U,5 
27.437917,41.686292,3331.0,3.0,SA,U,5 
27.039028,49.405083,26.0,3.0,SA,U,5 
21.3481,39.173033,7.0,3.0,SA,U,5 
21.679564,39.156536,48.0,3.0,SA,U,5 
27.900917,45.528194,1352.0,3.0,SA,U,5 
24.553422,39.705061,2151.0,3.0,SA,U,5 
17.611436,44.419169,3982.0,3.0,SA,U,5 
28.335192,46.125069,1174.0,3.0,SA,U,5 
25.174547,47.488431,1740.0,3.0,SA,U,5 
24.710333,44.964527,2530.0,3.0,SA,U,5 
24.107339,41.036047,2840.0,3.0,SA,U,5 
22.702608,39.069842,22.0,3.0,SA,U,5 
29.626419,43.490614,1474.0,3.0,SA,U,5 
24.95764,46.698776,2049.0,3.0,SA,U,5 
28.079584,48.610973,13.0,3.0,SA,U,5 
30.906589,41.138217,1813.0,3.0,SA,U,5 
26.723108,50.030814,6.0,3.0,SA,U,5 
17.466875,47.121431,2363.0,3.0,SA,U,5 
20.464744,45.619644,2021.0,3.0,SA,U,5 
28.365417,36.618889,2551.0,3.0,SA,U,5 
21.483418,40.544334,4848.0,3.0,SA,U,5 
25.212986,46.640978,1870.0,3.0,SA,U,5 
27.867844,48.76915,30.0,3.0,SA,U,5 
31.692683,38.7312,2803.0,3.0,SA,U,5 
26.198553,36.476381,66.0,3.0,SA,U,5 
24.144244,38.06335,26.0,3.0,SA,U,5 
30.371111,48.228333,19.0,3.5,IR,E,5 
32.434444,48.39764,474.0,3.5,IR,E,5 
30.74445,49.677183,88.0,3.5,IR,E,5 
30.337567,50.827964,2414.0,3.5,IR,E,5 
32.002372,49.270364,1206.0,3.5,IR,E,5 
30.835167,49.534916,85.0,3.5,IR,E,5 
30.556192,49.151879,8.0,3.5,IR,E,5 
31.337431,48.76195,66.0,3.5,IR,E,5 
25.875742,55.032994,23.0,3.5,IR,E,5 
28.944811,50.834637,68.0,3.5,IR,E,5 
27.212678,54.318592,1350.0,3.5,IR,E,5 
27.481425,52.615483,15.0,3.5,IR,E,5 
26.526156,53.980211,101.0,3.5,IR,E,5 
26.532,54.824847,67.0,3.5,IR,E,5 
29.260278,50.323889,17.0,3.5,IR,E,5 
25.908869,54.5394,43.0,3.5,IR,E,5 
26.8103,53.356289,76.0,3.5,IR,E,5 
33.895333,51.577044,3465.0,3.5,IR,E,5 
37.325314,49.605817,-40.0,3.5,IR,E,5 
35.952097,50.450778,3769.0,3.5,IR,E,5 
34.98395,50.806219,3008.0,3.5,IR,E,5 
35.416111,51.152222,3305.0,3.5,IR,E,5 
35.644806,51.380695,3627.0,3.5,IR,E,5 
35.689167,51.313416,3962.0,3.5,IR,E,5 
27.218317,56.37785,22.0,3.5,IR,E,5 
28.726925,57.670269,2663.0,3.5,IR,E,5 
27.158251,56.172461,19.0,3.5,IR,E,5 
26.754639,55.902353,45.0,3.5,IR,E,5 
36.501178,61.064903,945.0,3.5,IR,E,5 
33.66775,56.892675,2312.0,3.5,IR,E,5 
37.383272,55.452008,425.0,3.5,IR,E,5 
36.909908,50.679589,-70.0,3.5,IR,E,5 
28.891756,53.723339,4261.0,3.5,IR,E,5 
28.586675,53.579144,3358.0,3.5,IR,E,5 
27.372744,53.188794,1337.0,3.5,IR,E,5 
31.904908,54.276503,4054.0,3.5,IR,E,5 
31.098333,61.543889,1628.0,3.5,IR,E,5 
25.44335,60.382114,43.0,3.5,IR,E,5 
27.236117,60.720039,2040.0,3.5,IR,E,5 
27.419261,62.315789,3930.0,3.5,IR,E,5 
31.722556,35.993214,2395.0,2.0,JO,E,5 
31.972703,35.991569,2555.0,2.0,JO,E,5 
29.611619,35.018067,175.0,2.0,JO,E,5 
32.160747,37.149383,2220.0,2.0,JO,E,5 
31.864722,35.219167,2485.0,2.0,PS,U,5 
32.356353,36.259181,2240.0,2.0,JO,E,5 
29.226567,47.968928,206.0,3.0,KW,U,5 
34.589333,36.011322,75.0,2.0,LB,E,5 
24.432972,54.651138,88.0,4.0,AE,U,5 
24.428333,54.458084,16.0,4.0,AE,U,5 
24.073981,52.463644,50.0,4.0,AE,U,5 
24.187428,52.614,43.0,4.0,AE,U,5 
24.248249,54.547722,77.0,4.0,AE,U,5 
24.780528,52.559944,15.0,4.0,AE,U,5 
25.252778,55.364444,62.0,4.0,AE,U,5 
25.112225,56.323964,152.0,4.0,AE,U,5 
25.613483,55.938817,102.0,4.0,AE,U,5 
25.328575,55.51715,111.0,4.0,AE,U,5 
26.170986,56.240569,100.0,4.0,OM,U,5 
20.675434,58.890467,64.0,4.0,OM,U,5 
23.593278,58.284444,48.0,4.0,OM,U,5 
17.038719,54.091297,73.0,4.0,OM,U,5 
17.666,54.024612,1570.0,4.0,OM,U,5 
32.056108,72.9484,600.0,5.0,PK,N,5 
31.365014,72.994842,591.0,5.0,PK,N,5 
25.233308,62.329494,36.0,5.0,PK,N,5 
28.284167,68.449711,185.0,5.0,PK,N,5 
24.906547,67.160797,100.0,5.0,PK,N,5 
31.521564,74.403594,712.0,5.0,PK,N,5 
31.494794,74.346239,679.0,5.0,PK,N,5 
33.050086,73.638381,902.0,5.0,PK,N,5 
34.339022,73.508639,2691.0,5.0,PK,N,5 
32.563089,71.570681,690.0,5.0,PK,N,5 
27.335156,68.143053,154.0,5.0,PK,N,5 
24.893564,66.938753,35.0,5.0,PK,N,5 
30.203222,71.419111,403.0,5.0,PK,N,5 
26.219442,68.390053,95.0,5.0,PK,N,5 
30.741025,73.357736,568.0,5.0,PK,N,5 
26.954547,64.132517,3289.0,5.0,PK,N,5 
25.290487,63.345083,33.0,5.0,PK,N,5 
33.993911,71.514581,1158.0,5.0,PK,N,5 
33.560153,73.033217,1581.0,5.0,PK,N,5 
28.3839,70.279572,271.0,5.0,PK,N,5 
33.616653,73.099233,1668.0,5.0,PK,N,5 
34.081112,71.972583,1050.0,5.0,PK,N,5 
27.721989,68.791683,196.0,5.0,PK,N,5 
34.813556,72.352814,3183.0,5.0,PK,N,5 
28.645142,69.176917,763.0,5.0,PK,N,5 
24.841519,68.838408,28.0,5.0,PK,N,5 
32.304664,69.570433,4550.0,5.0,PK,N,5 
30.549069,47.662142,11.0,3.0,IQ,U,5 
36.180675,37.224358,1276.0,2.0,SY,E,5 
33.410636,36.514267,2020.0,2.0,SY,E,5 
35.285374,40.175961,700.0,2.0,SY,E,5 
35.401094,35.948681,157.0,2.0,SY,E,5 
34.557361,38.316889,1322.0,2.0,SY,E,5 
25.261125,51.565056,35.0,3.0,QA,U,5 
24.427892,118.359197,93.0,8.0,TW,U,5 
22.672367,120.461728,78.0,8.0,TW,U,5 
