@relation Airport-weka.filters.unsupervised.attribute.Remove-R4

@attribute Numerical_1 numeric
@attribute Numerical_2 numeric
@attribute Country{EU,AL,AT,AX,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GG,GI,GR,HR,HU,IE,IM,IS,IT,JE,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SJ,SK,TR,UA,XK,AS,AE,AF,AM,AZ,BD,BH,BN,BT,CC,CN,CX,CY,GE,HK,ID,IL,IN,IO,IQ,IR,JO,JP,KG,KH,KP,KR,KW,KZ,LA,LB,LK,MM,MN,MO,MY,NP,OM,PH,PK,PS,QA,SA,SG,SY,TH,TJ,TL,TM,TW,UZ,VN,YE,NAC,AG,AI,AW,BB,BL,BS,BQ,BZ,CA,CR,CU,DM,DO,GD,GL,GP,GT,HN,HT,JM,KN,KY,LC,MF,MQ,MS,MX,NI,PA,PR,SV,TC,TT,US,VC,VG,VI,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,EH,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SD,SH,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,ZA,ZM,ZW,AN,AQ,GS,SAC,AR,BO,BR,CL,CO,EC,FK,GF,GY,PE,PY,SR,UY,VE,OC,AU,CK,FJ,FM,GU,KI,MH,MP,NC,NF,NR,NU,NZ,PF,PG,PW,SB,TO,TV,UM,VU,WF,WS,UKNC,UKN}
@attribute Altitude numeric
@attribute Timezone numeric
@attribute DST {U,E,N,A,S,O,Z}

@data
51.29625,14.129,DE,495,1,E
52.380001,13.5225,DE,157,1,E
51.132767,13.767161,DE,755,1,E
50.979811,10.958106,DE,1036,1,E
50.026421,8.543125,DE,364,1,E
52.134642,7.684831,DE,160,1,E
53.630389,9.988228,DE,53,1,E
52.473025,13.403944,DE,167,1,E
50.865917,7.142744,DE,302,1,E
51.289453,6.766775,DE,147,1,E
48.353783,11.786086,DE,1487,1,E
49.4987,11.066897,DE,1046,1,E
51.432447,12.241633,DE,465,1,E
49.214553,7.109508,DE,1058,1,E
48.689878,9.221964,DE,1276,1,E
52.559686,13.287711,DE,122,1,E
52.461056,9.685078,DE,183,1,E
53.0475,8.786667,DE,14,1,E
49.960833,8.6415,DE,385,1,E
49.948672,7.263892,DE,1649,1,E
49.472706,8.514264,DE,309,1,E
51.034878,8.680839,DE,1164,1,E
49.606511,8.3684,DE,295,1,E
49.968931,8.148336,DE,760,1,E
50.992797,10.472711,DE,1101,1,E
50.707658,8.082969,DE,1966,1,E
53.535886,9.837025,DE,22,1,E
54.3795,10.145167,DE,101,1,E
53.805367,10.719222,DE,53,1,E
50.405888,6.528083,DE,1896,1,E
51.099445,7.601944,DE,1548,1,E
51.483333,7.899333,DE,794,1,E
51.402333,6.937333,DE,424,1,E
51.964833,8.544833,DE,454,1,E
51.230356,6.504494,DE,125,1,E
51.614089,8.616317,DE,699,1,E
51.995844,6.840667,DE,157,1,E
51.518314,7.612242,DE,425,1,E
48.425158,10.931764,DE,1515,1,E
48.111,9.762833,DE,1903,1,E
48.396167,12.723667,DE,1342,1,E
48.108833,10.524333,DE,1857,1,E
48.081364,11.283067,DE,1947,1,E
48.90095,12.518186,DE,1054,1,E
48.635167,13.195667,DE,991,1,E
